product_id,name,category,price,avg_rating,review_count,in_stock,tags
prod_0021,Summer Dress,Fashion,46.05,4.5,4427,True,"['fashion', 'summer']"
prod_0022,Ankle Boots,Fashion,176.87,4.7,3283,True,"['fashion', 'ankle']"
prod_0023,Beanie Hat,Fashion,298.21,3.4,4054,True,"['fashion', 'beanie']"
prod_0024,Canvas Backpack,Fashion,18.85,3.4,1322,True,"['fashion', 'canvas']"
prod_0025,Sunglasses UV400,Fashion,129.12,3.3,3138,True,"['fashion', 'sunglasses']"
prod_0026,Sports Socks (5pk),Fashion,142.61,3.6,4544,True,"['fashion', 'sports']"
prod_0027,Wool Scarf,Fashion,8.38,4.4,4410,True,"['fashion', 'wool']"
prod_0028,Chino Pants,Fashion,230.97,3.8,2416,True,"['fashion', 'chino']"
prod_0029,Graphic T-Shirt,Fashion,138.39,4.8,2169,True,"['fashion', 'graphic']"
prod_0030,Watch Band,Fashion,229.02,4.1,883,True,"['fashion', 'watch']"
prod_0031,Coffee Maker,Home & Kitchen,92.74,4.3,1641,True,"['home_kitchen', 'coffee']"
prod_0032,Air Fryer,Home & Kitchen,229.18,4.1,4356,True,"['home_kitchen', 'air']"
prod_0033,Non-stick Pan Set,Home & Kitchen,181.09,4.0,928,True,"['home_kitchen', 'non-stick']"
prod_0034,Bamboo Cutting Board,Home & Kitchen,263.34,4.6,2531,True,"['home_kitchen', 'bamboo']"
prod_0035,Knife Sharpener,Home & Kitchen,75.82,4.2,657,True,"['home_kitchen', 'knife']"
prod_0036,Digital Kitchen Scale,Home & Kitchen,147.88,3.3,4375,True,"['home_kitchen', 'digital']"
prod_0037,French Press,Home & Kitchen,42.75,4.0,4515,True,"['home_kitchen', 'french']"
prod_0038,Meal Prep Containers,Home & Kitchen,160.14,4.2,1747,True,"['home_kitchen', 'meal']"
prod_0039,Dish Rack,Home & Kitchen,227.05,4.4,2565,True,"['home_kitchen', 'dish']"
prod_0040,Blender 600W,Home & Kitchen,202.48,3.8,4251,True,"['home_kitchen', 'blender']"
prod_0041,Vacuum Sealer,Home & Kitchen,77.88,3.3,184,True,"['home_kitchen', 'vacuum']"
prod_0042,Cast Iron Skillet,Home & Kitchen,72.65,3.6,593,True,"['home_kitchen', 'cast']"
prod_0043,Spice Rack,Home & Kitchen,22.31,3.3,269,True,"['home_kitchen', 'spice']"
prod_0044,Tea Kettle,Home & Kitchen,25.83,3.6,3988,True,"['home_kitchen', 'tea']"
prod_0045,Mixing Bowl Set,Home & Kitchen,43.9,4.8,4689,True,"['home_kitchen', 'mixing']"
prod_0046,Clean Code,Books,76.44,4.0,3346,True,"['books', 'clean']"
prod_0047,Atomic Habits,Books,33.5,3.9,3481,True,"['books', 'atomic']"
prod_0048,The Pragmatic Programmer,Books,258.97,3.3,818,False,"['books', 'the']"
prod_0049,Deep Work,Books,219.09,4.6,907,True,"['books', 'deep']"
prod_0050,Dune,Books,60.92,4.0,3468,True,"['books', 'dune']"
prod_0051,Project Hail Mary,Books,141.01,4.7,629,True,"['books', 'project']"
prod_0052,Sapiens,Books,258.24,4.1,426,True,"['books', 'sapiens']"
prod_0053,Zero to One,Books,163.93,3.2,776,True,"['books', 'zero']"
prod_0054,The Psychology of Money,Books,254.52,3.5,3990,True,"['books', 'the']"
prod_0055,Thinking Fast Slow,Books,259.21,4.7,1360,True,"['books', 'thinking']"
prod_0056,1984,Books,294.68,3.7,3739,True,"['books', '1984']"
prod_0057,The DevOps Handbook,Books,209.8,4.4,4564,True,"['books', 'the']"
prod_0058,Designing Data-Intensive Apps,Books,148.08,3.5,1795,True,"['books', 'designing']"
prod_0059,Range,Books,175.28,4.1,2581,False,"['books', 'range']"
prod_0060,The Lean Startup,Books,176.75,4.1,4362,True,"['books', 'the']"
prod_0061,Yoga Mat,Sports & Fitness,287.47,3.3,1534,False,"['sports_fitness', 'yoga']"
prod_0062,Resistance Bands (set),Sports & Fitness,24.98,4.7,3319,True,"['sports_fitness', 'resistance']"
prod_0063,Jump Rope,Sports & Fitness,266.74,3.6,337,True,"['sports_fitness', 'jump']"
prod_0064,Water Bottle 1L,Sports & Fitness,128.25,4.2,4294,True,"['sports_fitness', 'water']"
prod_0065,Foam Roller,Sports & Fitness,81.67,4.3,2585,True,"['sports_fitness', 'foam']"
prod_0066,Pull-Up Bar,Sports & Fitness,121.36,4.3,2469,True,"['sports_fitness', 'pull-up']"
prod_0067,Dumbbells 5kg,Sports & Fitness,278.13,4.8,88,True,"['sports_fitness', 'dumbbells']"
prod_0068,Gym Gloves,Sports & Fitness,298.55,4.9,612,True,"['sports_fitness', 'gym']"
prod_0069,Running Belt,Sports & Fitness,153.73,3.4,2871,True,"['sports_fitness', 'running']"
prod_0070,Protein Shaker,Sports & Fitness,263.51,3.8,1304,True,"['sports_fitness', 'protein']"
prod_0071,Face Serum Vitamin C,Beauty,164.71,3.7,4345,False,"['beauty', 'face']"
prod_0072,Moisturiser SPF50,Beauty,245.23,3.7,860,True,"['beauty', 'moisturiser']"
prod_0073,Charcoal Face Mask,Beauty,44.48,3.4,888,True,"['beauty', 'charcoal']"
prod_0074,Retinol Eye Cream,Beauty,50.7,3.7,1737,True,"['beauty', 'retinol']"
prod_0075,Beard Trimmer,Beauty,64.86,4.3,2174,True,"['beauty', 'beard']"
prod_0076,Hair Diffuser,Beauty,78.83,4.7,428,True,"['beauty', 'hair']"
prod_0077,Nail Care Kit,Beauty,129.53,3.7,41,True,"['beauty', 'nail']"
prod_0078,Lip Balm Set,Beauty,43.46,4.9,1335,True,"['beauty', 'lip']"
prod_0079,Makeup Brush Set,Beauty,167.19,3.9,91,True,"['beauty', 'makeup']"
prod_0080,Sunscreen SPF30,Beauty,282.84,4.4,1233,True,"['beauty', 'sunscreen']"
prod_0081,LEGO Technic Set,Toys & Games,250.37,4.2,1225,True,"['toys_games', 'lego']"
prod_0082,Chess Board,Toys & Games,17.3,3.8,338,True,"['toys_games', 'chess']"
prod_0083,Card Game Exploding Kittens,Toys & Games,66.76,3.6,854,True,"['toys_games', 'card']"
prod_0084,Puzzle 1000pc,Toys & Games,169.61,4.7,1278,True,"['toys_games', 'puzzle']"
prod_0085,RC Car,Toys & Games,74.6,3.5,1462,True,"['toys_games', 'rc']"
prod_0086,Board Game Catan,Toys & Games,12.29,4.5,2733,True,"['toys_games', 'board']"
prod_0087,Rubik's Cube,Toys & Games,126.04,4.3,2044,True,"['toys_games', ""rubik's""]"
prod_0088,Foam Dart Blaster,Toys & Games,236.49,3.4,329,True,"['toys_games', 'foam']"
prod_0089,Strategy Game Risk,Toys & Games,70.4,4.6,3782,True,"['toys_games', 'strategy']"
prod_0090,Jenga,Toys & Games,246.24,4.7,1838,False,"['toys_games', 'jenga']"
prod_0091,Car Phone Mount,Automotive,61.78,3.8,580,True,"['automotive', 'car']"
prod_0092,Dash Cam 1080p,Automotive,87.06,4.3,3286,True,"['automotive', 'dash']"
prod_0093,Tyre Inflator,Automotive,253.04,3.8,238,True,"['automotive', 'tyre']"
prod_0094,Car Vacuum,Automotive,290.3,3.5,2186,False,"['automotive', 'car']"
prod_0095,Seat Covers,Automotive,180.39,3.8,2581,True,"['automotive', 'seat']"
prod_0096,Jump Starter Pack,Automotive,294.37,3.4,4735,True,"['automotive', 'jump']"
prod_0097,Windshield Sunshade,Automotive,18.05,3.9,4271,True,"['automotive', 'windshield']"
prod_0098,Car Air Freshener,Automotive,163.3,4.4,1626,True,"['automotive', 'car']"
prod_0099,OBD2 Scanner,Automotive,25.57,4.3,2716,True,"['automotive', 'obd2']"
prod_0100,LED Interior Lights,Automotive,200.04,3.4,2472,True,"['automotive', 'led']"
